"8th Grade Standardized Test Score","10th Grade GPA","8th Grade GPA","Income ($)","ParentEducation","Region","FeelGood","ChanceLuckImportant","DoThingsAsWellAsOthers","Misbehaving","ChatAboutActivities"
65.76000118255615,2.625,3.8,7,1,1,2,3,1,0,3
62.22249984741211,3,3.5,10,1,1,1,2,2,0,3
54.23500061035156,2.125,3.3,11,1,1,1,3,2,1,3
41.93000030517578,2.875,2.8,8,0,1,1,3,2,0,2
44.90000057220459,2.75,2.5,12,2,1,1,3,1,0,3
55.55000019073486,2.375,2.5,13,2,1,1,4,1,1,3
66.14249992370605,3.125,3.5,11,1,2,2,4,2,0,3
43.22000026702881,2.125,2.3,12,0,2,2,2,2,0,2
62.61249923706055,2.875,3.3,11,0,2,2,4,1,0,3
43.95750045776367,1.75,2,10,1,2,2,4,2,0,2
55.545000076293945,2.125,2.3,11,1,2,2,4,2,0,3
52.282501220703125,2.5,2.8,10,1,2,2,3,2,0,3
51.204999923706055,2.25,3,15,1,2,2,4,2,0,3
59.867499351501465,3.875,3.5,10,2,2,2,2,2,0,2
65.78749942779541,3.375,3.8,8,1,2,2,3,2,0,3
51.562499046325684,4,4,14,2,2,1,4,1,0,3
39.60249996185303,2.625,2.4,7,0,2,1,1,2,0,2
51.70750045776367,3,3.5,12,1,2,1,4,1,0,3
50.96000003814697,2.5,3,11,1,2,2,2,2,0,2
48.28750038146973,2.375,2.5,11,1,2,2,3,2,1,3
68.04500198364258,3.375,4,10,2,2,2,2,1,0,3
54.347500801086426,1.75,2.5,7,0,2,2,3,2,0,3
43.76249885559082,1.75,2.5,6,0,2,1,4,1,1,2
46.72000026702881,3.125,2.3,10,0,2,3,2,2,2,2
39.042500495910645,1.5,2.3,10,0,2,2,2,1,2,3
66.44500064849854,3.75,4,12,2,2,1,4,2,0,3
47.260000228881836,2.5,2.5,7,1,2,1,3,1,2,3
60.14250087738037,3.375,3.5,14,1,2,1,4,1,0,3
57.917500495910645,2.5,3,7,0,2,2,2,2,0,3
53.71000003814697,1,3.3,7,0,2,2,3,2,0,2
54.80000114440918,3.625,3.8,6,1,2,2,1,3,2,3
59.942501068115234,3,3.3,9,1,2,1,2,2,1,3
39.18499946594238,2.75,3.3,10,1,2,1,3,2,0,3
42.23750019073486,2.875,2.8,9,0,2,2,3,2,0,2
53.552499771118164,0.5,2.3,4,0,2,2,2,2,1,2
59.767499923706055,3.875,3.8,12,1,2,1,4,1,0,3
